Id,Neighborhood,OverallQual,GrLivArea,YearBuilt,Bedrooms,FullBath,GarageCars,LotArea,SalePrice,LotFrontage
446,Edwards,5,1899,1991,3,2,2,9149,193400,61.0
447,BrDale,4,1824,2003,4,2,2,5422,211200,
448,OldTown,5,1822,1939,4,2,3,9503,199300,36.0
449,StoneBr,7,1924,1963,3,2,2,18126,346200,137.0
450,OldTown,5,1708,1998,3,1,2,19618,189600,103.0
451,StoneBr,9,2526,1996,2,4,2,14873,379500,99.0
452,IDOTRR,3,1427,1930,2,1,2,9619,129700,55.0
453,Edwards,4,960,1977,2,2,3,10144,181000,70.0
454,Timber,5,1660,1929,3,3,2,13976,265900,52.0
455,NoRidge,7,2179,1970,3,3,3,7887,364100,41.0
456,Timber,4,1521,1945,3,3,2,10038,233900,57.0
457,BrDale,5,1713,2009,2,1,2,17448,189400,99.0
458,CollgCr,8,2510,1912,4,4,4,10360,304900,88.0
459,BrkSide,6,1602,1996,4,3,3,9582,209800,
460,OldTown,3,870,1932,3,2,2,10786,148900,63.0
461,OldTown,5,1678,1905,3,3,2,13346,222100,86.0
462,Somerst,8,2607,1984,3,2,2,12026,298700,57.0
463,MeadowV,3,2030,1974,3,1,1,13329,190600,
464,Gilbert,6,2253,1923,4,3,2,15633,235700,79.0
465,OldTown,2,746,1906,2,1,2,17357,149800,79.0
466,Edwards,5,1718,1914,3,2,2,11994,204900,76.0
467,OldTown,3,1529,1946,4,2,1,11913,160900,56.0
468,MeadowV,4,1682,1914,4,3,2,17710,141700,58.0
469,Somerst,4,1808,1989,3,1,2,10693,226900,45.0
470,CollgCr,6,1659,1917,4,3,1,7682,230200,36.0
471,NWAmes,7,2182,1994,4,2,3,14239,289700,67.0
472,CollgCr,5,1947,2005,3,2,3,16660,247800,88.0
473,Somerst,5,2088,1990,4,1,2,14439,280200,40.0
474,Somerst,4,1337,2010,3,1,2,11334,226400,76.0
475,Gilbert,5,1679,2010,2,2,2,7288,243900,87.0
476,Gilbert,5,853,1913,3,1,3,10501,191800,30.0
477,CollgCr,4,1402,1946,3,2,2,16120,226900,64.0
478,OldTown,5,1616,1985,3,2,1,7912,186500,106.0
479,OldTown,4,1263,1939,3,1,3,10669,158000,82.0
480,NWAmes,4,1677,1989,3,1,2,10997,224400,29.0
481,NWAmes,5,1780,1993,4,2,1,10118,226000,84.0
482,Veenker,8,1549,2010,3,2,2,12965,274800,54.0
483,OldTown,5,1875,1938,4,2,2,14301,218800,85.0
484,Gilbert,5,1475,1946,4,2,2,13464,224300,55.0
485,NridgHt,9,2689,1923,3,3,3,10959,344300,69.0
486,CollgCr,4,1171,1940,2,2,2,5581,209500,58.0
487,CollgCr,6,1990,1939,2,2,2,13898,276000,70.0
488,Veenker,7,2060,1962,4,2,1,11349,277400,58.0
489,OldTown,4,1726,1948,2,2,2,18886,215900,
490,OldTown,5,1843,1996,4,1,1,19281,188500,44.0
491,Edwards,4,1530,1987,4,1,2,19027,201100,81.0
492,OldTown,5,1262,1982,4,2,1,8233,203800,
493,OldTown,5,1282,1902,2,2,2,13556,184400,34.0
494,Gilbert,2,1055,1959,3,1,2,14158,172700,92.0
495,BrkSide,6,1977,1982,5,3,2,15608,199700,66.0
496,OldTown,1,867,1928,4,1,1,9493,153400,
497,CollgCr,5,2018,1955,4,1,1,17513,235700,87.0
498,OldTown,6,1882,1981,4,2,2,12765,232800,77.0
499,NWAmes,5,1462,1995,2,2,2,12372,231500,96.0
500,CollgCr,4,1522,2002,4,1,2,6661,244300,64.0
501,Edwards,3,1519,1949,3,1,1,14294,146900,93.0
502,IDOTRR,5,1913,1943,4,2,2,11914,175400,73.0
503,MeadowV,2,1917,1942,3,1,2,14460,143500,81.0
504,CollgCr,7,1925,1982,3,2,2,13672,277500,79.0
505,CollgCr,6,1954,1955,4,2,1,13541,258000,97.0
506,BrkSide,3,1589,1946,4,2,2,12018,183600,86.0
507,Gilbert,5,1791,1926,4,2,3,15335,232200,60.0
508,BrkSide,3,1264,1954,3,1,1,10831,145900,56.0
509,CollgCr,7,1617,1935,2,2,2,7140,259600,69.0
510,Somerst,7,1981,1969,5,2,2,14953,269100,53.0
511,NoRidge,6,1604,2010,5,3,2,9376,355900,
512,BrkSide,4,1015,1987,3,1,2,6395,172500,23.0
513,StoneBr,7,1881,1972,3,3,3,9184,340800,36.0
514,Gilbert,7,1793,2010,3,2,2,13577,275600,114.0
515,NWAmes,4,1824,2010,4,3,3,12310,247700,56.0
516,Timber,8,2550,1960,5,3,2,6635,283900,112.0
517,Gilbert,6,1663,1991,2,2,2,10983,233100,79.0
518,Edwards,3,1348,1939,3,1,1,15788,184300,69.0
519,NridgHt,7,1509,2010,3,3,1,10438,342100,37.0
520,BrkSide,3,1266,1943,4,1,2,10952,135400,70.0
521,BrkSide,3,1579,1930,3,3,3,15808,183500,112.0
522,NWAmes,6,2268,1922,3,2,2,16320,246600,104.0
523,Somerst,5,1550,2004,4,2,2,15676,250100,
524,OldTown,2,1628,1934,4,1,1,2552,142100,
525,Somerst,6,1449,2001,3,1,2,17965,288500,49.0
526,NWAmes,3,1003,1917,3,2,2,13233,161000,51.0
527,BrDale,3,1688,1955,3,1,3,20991,159100,98.0
528,BrDale,3,2024,1947,3,2,3,10309,184300,106.0
529,Edwards,3,1612,1950,4,1,2,6051,208000,74.0
530,Gilbert,8,2325,1926,4,3,2,13675,285000,63.0
531,Edwards,5,1031,1910,3,3,2,10098,156900,104.0
532,Edwards,5,1092,1940,4,1,1,13471,201800,48.0
533,NWAmes,3,1485,1959,2,3,0,15732,183100,71.0
534,OldTown,4,1494,1989,3,2,1,11682,189600,80.0
535,NridgHt,8,1952,1971,4,3,2,12061,367700,51.0
536,Veenker,5,1822,1940,3,2,2,14473,253600,56.0
537,CollgCr,7,2200,1937,4,3,1,12502,280600,54.0
538,Somerst,5,2130,1979,4,2,2,12070,268400,101.0
539,Timber,6,2027,1959,3,3,2,16683,295400,
540,BrkSide,4,2049,2001,4,2,1,17507,167900,
541,BrDale,4,1622,1948,3,3,1,16037,175100,64.0
542,OldTown,4,1579,1964,4,2,1,11569,175300,57.0
543,BrkSide,4,1992,1909,4,3,1,5494,203600,70.0
544,BrDale,4,1277,1921,3,2,2,11035,158700,58.0
545,Somerst,5,2785,2005,5,1,1,11917,318100,
546,CollgCr,6,2111,1946,4,4,1,12767,268300,79.0
547,NWAmes,6,2113,1954,3,2,2,10877,255800,61.0
548,NoRidge,8,2523,1985,4,3,2,13973,387900,66.0
549,Edwards,4,2276,1908,4,2,2,9914,213000,66.0
550,CollgCr,7,2437,1964,5,3,2,9391,293000,63.0
551,CollgCr,6,1418,1947,4,2,1,16115,198700,60.0
552,Somerst,6,2471,1928,5,3,2,10548,268300,87.0
553,Timber,6,1860,1958,4,2,2,12721,302900,31.0
554,IDOTRR,6,2017,1949,4,3,3,16374,180700,105.0
555,StoneBr,6,1532,1940,2,2,2,15264,334000,73.0
556,Gilbert,7,2344,1967,4,3,2,16469,287700,83.0
557,Gilbert,3,1212,1990,3,1,3,12484,207300,86.0
558,CollgCr,6,2015,1938,4,2,2,15564,224100,54.0
559,OldTown,6,1880,2008,4,2,2,17565,209800,50.0
560,CollgCr,6,2653,1976,5,2,2,15793,322100,47.0
561,NoRidge,8,3033,2006,4,3,3,8635,381200,65.0
562,Gilbert,5,1816,1915,3,2,2,10782,220500,85.0
563,BrkSide,4,1642,1986,5,2,2,14721,174000,57.0
564,OldTown,4,1489,1939,4,3,2,9783,202600,83.0
565,OldTown,4,2007,1980,3,1,1,18684,193200,
566,Edwards,4,1504,1990,3,2,2,11786,180500,62.0
567,Edwards,5,1652,1929,3,2,3,12602,223400,96.0
568,StoneBr,7,2502,1948,4,2,3,17940,370100,66.0
569,NWAmes,5,1611,1914,4,2,2,11582,212300,52.0
570,OldTown,3,1426,1968,5,2,2,12468,154100,56.0
571,NWAmes,6,1426,1993,3,3,1,14998,261800,21.0
572,BrkSide,5,2046,1947,4,2,2,7939,204600,48.0
573,CollgCr,6,2659,1926,3,3,3,13319,253000,93.0
574,Edwards,6,2232,1936,3,3,3,16366,191400,57.0
575,BrkSide,5,2311,1946,5,2,1,13851,186400,60.0
576,CollgCr,6,1683,2009,4,2,2,17501,241200,21.0
577,IDOTRR,4,1702,1913,1,1,3,6888,135200,34.0
578,OldTown,4,1289,1939,4,2,2,5662,155300,96.0
579,BrkSide,4,1540,1972,5,2,3,14773,175000,
580,NWAmes,8,2610,1934,3,2,2,17250,276100,
581,CollgCr,5,1835,2006,5,1,2,11993,289700,
582,CollgCr,5,1305,2009,1,2,2,13011,240100,69.0
583,Somerst,7,1699,1953,4,2,3,15006,278800,
584,NWAmes,6,1496,1990,3,2,3,9143,261500,
585,MeadowV,2,1432,1983,1,2,1,9390,143800,66.0
586,OldTown,6,2702,1976,5,1,2,15068,244500,83.0
587,Timber,6,2456,1932,5,2,3,17076,300100,83.0
588,NWAmes,4,956,1913,3,2,2,6831,204600,
589,Timber,8,2837,1950,5,3,2,13981,369700,36.0
590,NridgHt,9,2847,1935,4,4,3,13839,406900,71.0
591,MeadowV,2,719,1932,1,1,2,11900,104400,64.0
592,CollgCr,8,2233,1979,4,3,2,13435,296200,68.0
593,Gilbert,6,2363,1972,5,3,2,11815,254100,65.0
594,OldTown,4,1812,1925,4,2,1,16993,190300,
595,NridgHt,10,2241,1922,2,3,2,11594,349500,21.0
596,Gilbert,6,2193,1932,3,2,2,12363,236500,96.0
597,Edwards,5,1051,1952,2,2,2,5531,186500,
598,OldTown,4,1542,1987,2,2,1,9586,203800,37.0
599,BrDale,5,2198,1940,4,2,1,15202,200800,80.0
600,OldTown,5,1806,1933,4,1,1,13734,206900,60.0
601,CollgCr,6,1805,1969,2,3,2,14708,266400,61.0
602,Edwards,4,1931,1909,4,3,0,14790,182300,53.0
603,IDOTRR,4,1961,1924,4,2,1,20228,162200,82.0
604,Edwards,4,2078,1906,3,1,0,10538,197400,52.0
605,BrDale,3,1746,1957,3,2,2,6824,189600,46.0
606,BrkSide,3,1818,1950,2,2,0,8959,171300,95.0
607,IDOTRR,5,2056,1964,3,1,2,10649,192000,66.0
608,Somerst,3,1532,1979,3,1,3,8653,278500,67.0
609,Edwards,5,1831,1945,4,1,3,12989,205500,
610,CollgCr,5,1716,2004,4,2,1,16816,251900,55.0
611,OldTown,6,1555,2003,3,2,2,17498,218800,60.0
612,OldTown,4,1285,1914,3,1,1,13335,163700,77.0
613,BrDale,5,1701,2001,4,2,1,19896,174000,36.0
614,BrDale,4,1704,1921,4,2,2,11160,178300,75.0
615,Gilbert,6,2484,1935,4,3,3,8254,269400,53.0
616,Edwards,5,1785,1960,4,2,2,16256,235400,89.0
617,Edwards,4,1971,1905,3,1,1,6506,198800,
618,NWAmes,7,2537,1948,4,2,3,11431,271200,79.0
619,Somerst,5,1718,1933,4,2,0,14256,260900,
620,StoneBr,8,2548,1973,4,3,2,13737,374000,68.0
621,BrkSide,6,1894,1991,4,2,1,12119,234500,44.0
622,CollgCr,7,2622,2010,4,2,2,10111,288500,
623,BrDale,6,2202,1923,4,2,2,13366,205200,
624,CollgCr,5,1383,1968,3,2,2,15278,237900,36.0
625,BrDale,3,1496,1952,3,3,1,12061,159300,96.0
626,NWAmes,4,2196,1953,3,1,2,10486,228300,78.0
627,BrkSide,5,1736,1971,4,2,2,8105,210300,62.0
628,NoRidge,8,2496,2010,4,4,2,11158,385000,50.0
629,OldTown,5,1991,1946,4,2,2,14355,227200,46.0
630,BrkSide,3,1077,1909,2,1,2,12356,154100,74.0
631,MeadowV,5,1978,2000,5,3,2,10154,188000,62.0
632,BrkSide,3,952,2004,2,1,1,3166,177100,
633,NridgHt,9,2301,1956,3,3,2,15072,359700,66.0
634,NWAmes,9,2896,1963,4,3,3,11650,330200,71.0
635,StoneBr,8,2464,2010,3,2,2,16339,392300,39.0
636,Somerst,7,2053,1967,5,3,3,10459,316900,62.0
637,Edwards,4,1776,1954,5,2,1,9094,194700,
638,Edwards,2,1238,2003,4,2,1,12012,156900,62.0
639,BrkSide,4,1624,1993,3,2,1,20499,189700,59.0
640,IDOTRR,3,1669,1955,5,1,3,14959,177500,77.0
641,Edwards,3,1185,1919,3,2,1,11846,147000,103.0
642,BrkSide,7,2174,1950,4,3,2,14603,248400,73.0
643,StoneBr,8,2230,1994,5,3,2,7331,373800,95.0
644,Gilbert,6,1425,1937,4,3,2,7921,219700,84.0
645,OldTown,4,1297,1961,5,2,1,2805,208200,94.0
646,BrkSide,4,2168,1974,4,2,2,19390,206300,57.0
647,NridgHt,9,2654,1930,4,3,0,19653,349500,65.0
648,CollgCr,6,1516,1971,3,2,2,13406,237000,66.0
649,Edwards,5,1260,1983,2,1,2,11992,218500,82.0
650,NridgHt,8,2300,1944,4,3,3,8169,401700,87.0
651,NWAmes,5,2346,1968,5,2,3,12924,282300,
652,IDOTRR,2,1194,1978,3,1,1,17661,167200,89.0
653,Edwards,2,1717,1906,3,2,2,12893,188600,58.0
654,Gilbert,5,1923,1978,3,2,1,10869,254200,89.0
655,BrkSide,5,1964,1930,4,2,2,6774,204800,92.0
656,NWAmes,4,1152,1951,4,2,1,16135,219400,
657,BrkSide,4,1948,1973,4,2,1,12650,206400,73.0
658,Gilbert,6,1862,1908,4,1,2,6575,229500,86.0
659,OldTown,2,1562,1903,3,2,2,8889,173500,50.0
660,NWAmes,5,1515,1957,4,2,2,7558,260200,74.0
661,Gilbert,6,2041,2010,1,2,3,12620,267500,77.0
662,IDOTRR,5,1923,1900,4,2,1,13571,168200,
663,Timber,5,1746,1998,6,2,3,10730,287600,80.0
664,NoRidge,8,2481,1929,3,4,2,16681,350700,
665,NWAmes,7,2066,1961,4,3,2,13407,242400,61.0
666,Edwards,5,1572,1949,3,2,2,15862,215000,71.0
667,BrkSide,4,2181,1953,3,2,2,12111,193000,54.0
668,BrDale,4,1987,1909,4,2,2,23632,177600,72.0
669,Gilbert,5,1533,1990,4,2,1,10090,224400,71.0
670,NWAmes,6,2178,1938,4,2,3,10194,285100,52.0
671,Somerst,6,1720,1996,4,2,3,8847,297500,82.0
672,OldTown,5,1385,1974,3,2,1,11031,182800,53.0
673,BrDale,4,1981,1960,6,2,0,6943,155000,120.0
674,Edwards,6,1383,1935,3,2,2,12796,188300,68.0
675,OldTown,5,2124,1973,4,2,2,6579,222900,44.0
676,NWAmes,7,2071,2010,2,2,2,13707,278400,48.0
677,MeadowV,5,1725,2001,3,2,2,7720,190400,95.0
678,CollgCr,5,1943,2009,5,1,2,11551,266600,61.0
679,Somerst,4,1823,1936,2,1,1,14761,261900,40.0
680,NWAmes,7,1870,1972,2,2,2,20804,261800,89.0
681,NoRidge,8,2591,1964,4,2,3,10408,384900,61.0
682,Timber,4,1659,2010,4,2,2,11791,248000,
683,NridgHt,7,1720,2010,3,2,1,9906,392400,
684,CollgCr,7,2100,2004,3,2,1,10155,272200,76.0
685,OldTown,4,2103,1919,2,3,2,10703,198000,
686,NWAmes,5,2386,1943,4,2,1,16656,261000,
687,CollgCr,8,2591,1987,5,2,1,12473,288600,52.0
688,BrDale,3,1023,1982,1,1,2,18918,155500,64.0
689,Edwards,4,1791,1940,4,2,2,14037,190800,120.0
690,OldTown,5,2097,1917,4,3,2,9658,185300,110.0
691,Gilbert,6,2233,1923,5,3,2,12182,263800,
692,IDOTRR,5,2074,1975,4,2,2,10341,166900,53.0
693,Gilbert,7,2287,1957,4,2,3,16374,308100,55.0
694,Gilbert,6,1954,1962,4,2,2,7172,269400,52.0
695,IDOTRR,5,1587,1989,4,2,0,7480,187000,53.0
696,CollgCr,6,1315,1910,2,3,2,9559,204100,103.0
697,Edwards,5,1918,1984,2,2,2,15226,196100,
698,OldTown,5,1865,1932,3,2,2,17045,223000,68.0
699,OldTown,5,1995,2004,4,2,2,17821,289300,87.0
700,Gilbert,7,1691,2010,4,2,3,14236,290900,33.0
701,Gilbert,6,2205,1963,4,2,2,13119,281000,71.0
702,Gilbert,6,2699,1942,5,2,3,17179,286800,46.0
703,Somerst,5,1827,1937,4,2,3,8648,251300,
704,IDOTRR,4,1598,1919,3,1,2,5739,183100,57.0
705,Gilbert,6,2088,2010,4,1,2,14704,247700,
706,OldTown,5,2511,1922,3,1,0,10502,182500,75.0
707,BrkSide,7,1801,1951,3,2,2,12373,191200,75.0
708,BrkSide,4,1691,1954,4,2,1,12800,200100,65.0
709,CollgCr,6,1700,1983,1,2,2,13268,258300,78.0
710,CollgCr,7,1968,2001,6,3,2,16218,279800,51.0
711,BrDale,4,1602,1961,4,2,2,15116,175600,
712,Edwards,7,2631,1985,4,3,3,14944,231200,65.0
713,BrkSide,4,2250,1964,5,2,2,11952,192900,59.0
714,IDOTRR,4,1776,1948,3,1,3,12929,169200,53.0
715,BrkSide,3,1308,1919,3,2,2,9529,137200,65.0
716,Timber,6,2852,1934,4,1,1,14016,287400,111.0
717,OldTown,5,1650,1949,5,2,1,21463,170600,69.0
718,Somerst,7,1960,1917,4,2,2,13557,288100,45.0
719,OldTown,5,1178,1936,3,3,2,12931,191400,90.0
720,BrDale,6,2468,1950,5,2,1,11466,185800,60.0
721,CollgCr,6,2318,1960,4,3,2,17206,267100,
722,CollgCr,5,2646,1998,4,1,2,16952,313900,57.0
723,NridgHt,10,2213,2010,5,3,2,16111,371600,98.0
724,BrDale,5,2310,1980,6,2,2,14372,214800,57.0
725,Somerst,5,1824,1920,4,3,2,16267,260300,101.0
726,StoneBr,7,2442,1964,4,3,3,18334,380600,47.0
727,Gilbert,4,1043,1988,3,2,1,12076,218600,64.0
728,NoRidge,9,3033,1986,6,4,3,14664,393400,
729,CollgCr,5,2075,1959,3,2,1,16280,253700,74.0
730,CollgCr,6,1966,1956,3,3,1,9767,258300,120.0
731,Gilbert,6,2205,1952,3,2,1,10897,253700,64.0
732,StoneBr,9,2252,1983,3,3,3,13317,351300,76.0
733,Somerst,5,1597,1931,3,1,3,6099,281400,
734,NWAmes,4,1457,1964,3,1,1,14810,239800,37.0
735,StoneBr,8,1691,1942,5,3,2,9011,320100,34.0
736,Edwards,5,2101,1976,4,1,2,11551,208600,52.0
737,Veenker,7,2577,2008,3,3,3,13407,319800,
738,Gilbert,5,1554,1963,3,3,1,12245,210300,35.0
739,NWAmes,6,2101,1950,5,2,2,11999,223500,83.0
740,NWAmes,5,1707,2010,4,1,1,12178,231800,82.0
741,NridgHt,7,2274,1993,4,2,2,13339,357500,114.0
742,Somerst,5,1580,1959,3,1,3,10595,237700,93.0
743,IDOTRR,6,1670,1903,4,2,2,9633,183500,78.0
744,NridgHt,9,2888,1922,4,3,2,18561,405300,100.0
745,CollgCr,7,2137,1933,4,2,3,5908,290700,82.0
746,CollgCr,7,2867,1935,6,3,2,14013,289000,60.0
747,NWAmes,9,2536,1987,4,2,3,12430,271800,45.0
748,CollgCr,4,1295,1964,2,3,3,13055,246400,57.0
749,BrkSide,4,2049,2010,4,1,2,8007,210300,69.0
750,BrkSide,4,1840,1961,3,2,1,10930,195600,74.0
751,Gilbert,5,2054,2007,3,3,3,12749,297900,23.0
752,Gilbert,4,2036,1968,4,2,2,16817,227700,
753,Gilbert,5,1571,1947,4,2,2,13304,182000,
754,CollgCr,4,1575,1987,3,2,2,8007,221500,82.0
755,Edwards,5,1739,1951,3,2,2,10771,208100,
756,Gilbert,6,1528,1938,3,2,3,15157,244400,74.0
757,NWAmes,6,1887,1960,3,3,2,8571,231000,50.0
758,MeadowV,5,2267,1973,3,3,2,13258,173100,30.0
759,StoneBr,9,2603,1961,3,3,2,14174,369500,85.0
760,CollgCr,5,1328,1986,5,2,2,10305,219000,51.0
761,Edwards,7,1615,2009,4,3,2,21665,231700,89.0
762,Somerst,7,2742,1957,5,2,2,13039,299400,101.0
763,StoneBr,6,1948,1952,4,2,2,14470,320600,36.0
764,Somerst,5,1573,1956,4,1,2,9463,244200,82.0
765,MeadowV,2,1164,1992,3,1,1,13175,146900,98.0
766,NridgHt,8,1822,1940,4,4,3,15691,355500,92.0
767,Timber,6,2478,2010,4,2,3,11898,313300,24.0
768,NridgHt,7,2022,1966,4,2,2,12852,355200,51.0
769,Somerst,9,2998,2004,5,3,3,11862,342100,42.0
770,OldTown,5,1818,1988,3,1,2,8630,188100,82.0
771,Gilbert,7,2660,1994,3,2,2,17948,275500,79.0
772,OldTown,3,1529,2001,3,2,0,10118,167900,21.0
773,OldTown,3,1738,1922,3,2,1,4028,208800,63.0
774,BrkSide,4,1871,1967,2,1,1,18920,165700,88.0
775,NridgHt,8,2558,1931,5,3,1,11308,356200,
776,BrkSide,2,1381,1934,4,1,2,10899,161100,73.0
777,OldTown,4,1538,1906,5,3,2,17819,170700,62.0
778,Somerst,6,2650,1987,4,2,2,13803,320900,
779,BrkSide,4,1302,1968,3,2,0,11032,163600,70.0
780,BrkSide,3,1441,1983,2,3,0,7583,163600,71.0
781,Gilbert,5,1805,1927,4,1,2,6888,251300,84.0
782,MeadowV,4,1760,1936,4,2,3,11937,207400,85.0
783,CollgCr,6,1829,1983,3,2,2,13927,288200,72.0
784,OldTown,5,1910,1992,3,1,2,13889,207600,
785,BrDale,5,1740,1997,2,2,1,10795,188300,62.0
786,NWAmes,5,1246,1916,4,2,2,11562,219900,38.0
787,BrkSide,4,1623,1946,3,2,3,5815,191900,80.0
788,Gilbert,6,1594,1909,3,2,2,13798,220200,
789,BrkSide,5,1192,1992,2,2,1,11948,200300,81.0
790,OldTown,4,1667,1915,3,2,3,19241,190100,42.0
791,Veenker,7,2330,2003,4,2,2,13686,310200,109.0
792,NWAmes,7,2344,1925,4,2,3,10388,249500,86.0
793,Gilbert,7,2358,1909,4,2,2,13538,266000,64.0
794,NoRidge,10,2023,2010,5,3,4,11898,356100,
795,NridgHt,7,1683,1969,4,2,2,13887,332600,94.0
796,NWAmes,6,2670,1954,5,2,2,14434,263600,46.0
797,NridgHt,8,1973,1992,5,2,2,8536,368500,120.0
798,Timber,6,2193,1942,4,2,2,7660,318300,57.0
799,Edwards,4,1379,1977,3,2,2,12678,196300,108.0
800,Edwards,3,1467,1949,4,1,1,16774,196500,66.0
801,Edwards,5,1578,1931,4,3,3,12433,207900,105.0
802,Gilbert,5,1996,1951,4,2,2,15838,266600,
803,IDOTRR,4,1667,1900,2,2,1,15878,192100,
804,OldTown,4,1463,1935,3,2,0,12859,156100,88.0
805,Somerst,5,1432,1977,3,2,1,9013,238400,85.0
806,Somerst,7,2253,1927,5,2,3,14189,304700,94.0
807,Edwards,5,1375,1915,3,2,1,15974,177600,59.0
808,Timber,7,2309,1984,5,2,2,15472,307200,72.0
809,CollgCr,8,3259,1956,6,2,2,18136,309600,97.0
810,BrDale,4,2092,1915,5,1,2,11565,170500,54.0
811,NridgHt,9,2771,2003,5,2,3,13833,429800,83.0
812,NridgHt,7,2130,2006,3,3,2,12844,342400,65.0
813,BrDale,3,761,1903,3,2,0,10342,136200,75.0
814,OldTown,6,1517,1924,3,3,2,16121,204200,
815,Somerst,5,2248,1952,3,3,2,5280,247600,
816,IDOTRR,3,1163,1980,3,2,3,11432,146000,64.0
817,IDOTRR,4,1375,1908,4,2,3,11471,150000,73.0
818,OldTown,4,1562,1990,4,1,1,7323,197100,68.0
819,OldTown,3,1068,1937,5,2,1,13487,149000,105.0
820,Gilbert,5,1370,1921,3,2,1,9204,216800,92.0
821,StoneBr,9,2502,2010,6,4,4,12754,365600,76.0
822,OldTown,4,1307,1911,3,2,2,18084,212400,53.0
823,Gilbert,4,1360,1922,3,3,2,15254,216600,52.0
824,Edwards,6,1706,2006,2,2,2,14422,225300,
825,BrkSide,5,1982,1959,5,3,3,14296,199900,48.0
826,NridgHt,7,2078,1971,3,3,3,12579,347700,73.0
827,OldTown,3,1377,1977,3,1,2,18751,210800,78.0
828,Gilbert,5,2008,1977,5,2,2,15823,216800,
829,IDOTRR,4,1570,1967,4,1,1,9516,173000,48.0
830,Gilbert,7,2062,1910,5,2,3,8223,240000,
831,OldTown,3,1604,1962,3,2,2,14191,172800,58.0
832,OldTown,4,1853,1932,4,2,2,12510,178200,54.0
833,NWAmes,6,1928,1996,4,2,2,7854,242800,
834,Edwards,2,1288,1957,4,2,2,13076,164500,
835,Edwards,6,1706,1915,5,1,3,11470,158700,58.0
836,OldTown,3,1138,1999,3,2,1,13133,163000,72.0
837,Edwards,5,2069,1933,5,2,2,14684,203700,85.0
838,BrDale,4,1775,1929,4,2,2,10421,150500,
839,CollgCr,7,2319,2010,4,3,3,15852,321700,
840,CollgCr,6,2078,1994,4,3,2,11413,261200,42.0
841,NridgHt,5,1816,2010,5,2,3,11116,338900,96.0
842,BrkSide,4,1863,1974,5,1,2,10863,185300,70.0
843,CollgCr,6,2307,2009,5,2,2,17572,279500,69.0
844,NWAmes,5,2118,1920,4,2,3,12253,272700,55.0
845,NoRidge,8,2304,1986,4,2,2,18411,412300,43.0
846,IDOTRR,5,2285,1932,4,2,2,19812,208200,33.0
847,NWAmes,6,2059,1951,5,2,1,10532,270700,53.0
848,Edwards,4,1841,1928,4,1,2,2458,221000,83.0
849,Somerst,4,1718,1934,4,2,1,16091,249500,49.0
850,BrDale,4,1706,1948,3,1,2,11215,204700,36.0
851,Timber,7,1902,2010,3,2,2,9772,310800,50.0
852,Timber,5,2045,1981,4,2,2,11029,281900,62.0
853,BrkSide,5,2795,1940,4,3,2,13138,230300,62.0
854,MeadowV,5,1668,1947,5,2,2,16876,144400,67.0
855,Veenker,7,2184,1971,4,2,1,13927,301400,93.0
856,CollgCr,2,1103,1935,3,1,1,15698,169100,97.0
857,Edwards,3,1269,1959,2,2,2,13267,142400,114.0
858,IDOTRR,6,4500,1976,5,3,1,12957,145000,34.0
859,NWAmes,5,1564,1934,4,2,2,10761,211100,
860,CollgCr,3,1274,1973,4,2,0,13513,211400,85.0
861,Edwards,6,1424,1979,3,3,2,14719,206100,60.0
862,Edwards,5,1534,1959,4,1,1,15556,193400,89.0
863,BrkSide,6,1382,1934,3,2,3,10848,180000,75.0
864,OldTown,5,2021,1962,4,2,1,13655,218900,105.0
865,Somerst,7,3139,1999,5,2,1,17322,318900,93.0
866,IDOTRR,5,1671,1924,3,1,2,10998,184000,93.0
867,IDOTRR,5,1216,1963,3,1,2,7459,148900,61.0
868,BrkSide,7,2474,1976,4,2,1,11126,229200,68.0
869,NoRidge,9,2265,1956,4,3,3,12686,394000,63.0
870,Veenker,5,2254,1955,4,2,0,15825,291700,37.0
871,Edwards,5,1701,1999,5,2,1,16808,187600,102.0
872,NridgHt,9,2298,1960,6,3,2,8849,364800,86.0
873,BrDale,6,1917,1965,3,2,3,10743,188600,
874,NWAmes,5,2065,1924,3,3,3,11877,236600,99.0
875,Edwards,6,1900,2003,3,2,3,15581,201100,56.0
876,IDOTRR,5,1626,1965,3,2,2,10403,179700,30.0
877,NWAmes,9,2450,1991,5,3,1,12395,304600,92.0
878,Gilbert,5,1354,1974,4,1,2,6766,218400,42.0
879,OldTown,4,1758,1941,4,2,3,14207,192000,66.0
880,OldTown,4,994,1939,3,1,3,10423,167900,75.0
881,NWAmes,5,1644,1985,3,2,2,9998,261600,
882,OldTown,3,1705,1996,3,1,1,11501,173000,89.0
883,MeadowV,1,1186,1914,3,1,1,15316,110400,83.0
884,CollgCr,5,2006,2002,2,1,3,9494,253000,82.0
885,Timber,7,2137,2003,3,2,1,10328,276400,53.0
886,NWAmes,5,2209,1919,3,2,1,17800,251000,
887,NWAmes,8,2663,1919,5,3,3,14591,285800,37.0
888,Somerst,6,2136,1988,4,2,2,15616,288400,104.0
889,Somerst,8,2664,2004,5,3,2,15734,344000,39.0
890,Edwards,5,2062,1945,2,2,3,13000,236300,62.0
891,NWAmes,7,2006,1978,2,3,2,11792,237800,41.0
892,BrDale,5,1329,2009,4,1,2,14568,196500,54.0
